,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
63,1994 AH2,2.537,21.02 trillion,APO,21.02,trillion,B_Metal Content,21020000000000.0
64,2000 WL10,3.141,92.39 billion,APO,92.39,billion,C_Low Metal Content,92390000000.0
65,2000 BM19,0.74,914.79 billion,ATE,914.79,billion,C_Low Metal Content,914790000000.0
66,1997 US9,1.053,67.65 million,APO,67.65,million,D_Very low Content,67650000.0
67,2001 SJ262,2.945,30.61 billion,AMO,30.61,billion,C_Low Metal Content,30610000000.0
68,1997 SE5,3.759,76.10 million,AMO,76.1,million,D_Very low Content,76100000.0
69,Ra-Shalom,0.8320000000000001,1.76 trillion,ATE,1.76,trillion,B_Metal Content,1760000000000.0
70,1997 AQ18,1.147,329.46 billion,APO,329.46,billion,C_Low Metal Content,329460000000.0
71,1999 HF1,0.8190000000000001,9.21 trillion,ATE,9.21,trillion,B_Metal Content,9210000000000.0
72,1999 YK5,0.8290000000000001,7.66 trillion,ATE,7.66,trillion,B_Metal Content,7660000000000.0
73,1999 JD6,0.883,4.77 trillion,ATE (PHA),4.77,trillion,B_Metal Content,4770000000000.0
74,2000 WO107,0.912,17.40 billion,ATE (PHA),17.4,billion,C_Low Metal Content,17400000000.0
75,1997 AC11,0.9129999999999999,2.92 billion,ATE,2.92,billion,C_Low Metal Content,2920000000.0
76,2000 EA107,0.93,1.06 billion,ATE,1.06,billion,C_Low Metal Content,1060000000.0
77,2000 CK33,0.968,63.73 billion,ATE,63.73,billion,C_Low Metal Content,63730000000.0
78,Poseidon,1.835,38.13 trillion,APO,38.13,trillion,B_Metal Content,38130000000000.0
79,2002 DH2,2.051,20.79 billion,APO,20.79,billion,C_Low Metal Content,20790000000.0
80,2001 YK4,2.656,314.94 billion,APO,314.94,billion,C_Low Metal Content,314940000000.0
81,Cruithne,0.998,2.12 billion,ATE,2.12,billion,C_Low Metal Content,2120000000.0
82,1999 FB,1.18,175.38 million,APO,175.38,million,D_Very low Content,175380000.0
83,2002 DY3,1.492,48.34 billion,AMO,48.34,billion,C_Low Metal Content,48340000000.0
84,Izhdubar,1.0070000000000001,801.64 million,APO,801.64,million,D_Very low Content,801640000.0
85,2001 XS30,1.165,139.84 billion,APO,139.84,billion,C_Low Metal Content,139840000000.0
86,2000 YH66,1.173,73.17 billion,APO,73.17,billion,C_Low Metal Content,73170000000.0
87,David Hughes,1.726,12.14 trillion,MCA,12.14,trillion,B_Metal Content,12140000000000.0
88,Phaethon,1.271,>100 trillion,APO (PHA),110.0,Too Much,A_High Metal Content,110000000000000.0
89,2000 CN33,2.6010000000000004,16.01 billion,AMO,16.01,billion,C_Low Metal Content,16010000000.000002
90,Bede,1.774,11.47 trillion,AMO,11.47,trillion,B_Metal Content,11470000000000.0
91,Gressmann,2.22,81.81 trillion,MBA,81.81,trillion,B_Metal Content,81810000000000.0
92,1995 BL2,1.235,261.02 billion,APO,261.02,billion,C_Low Metal Content,261019999999.99997
93,2000 BJ19,1.2919999999999998,2.78 billion,APO,2.78,billion,C_Low Metal Content,2780000000.0
94,2001 UY4,1.453,252.55 billion,APO (PHA),252.55,billion,C_Low Metal Content,252550000000.0
95,2000 WK10,1.479,48.34 billion,APO (PHA),48.34,billion,C_Low Metal Content,48340000000.0
96,2002 AU5,2.02,145.99 billion,APO,145.99,billion,C_Low Metal Content,145990000000.0
97,Tantalus,1.29,1.07 billion,APO (PHA),1.07,billion,C_Low Metal Content,1070000000.0000001
