,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
848,Farinella,3.2039999999999997,10.15 billion,OMB,10.15,billion,C_Low Metal Content,10150000000.0
849,Aemilia,3.103,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
850,Kamenyar,3.1639999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
851,Vundtia,3.142,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
852,Ursula,3.128,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
853,Klymene,3.145,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
854,Antiope,3.15,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
855,Veritas,3.1719999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
856,Ophelia,3.1289999999999996,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
857,Tanjiazhen,3.177,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
858,Thomana,3.1719999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
859,Pulcova,3.153,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
860,Byblis,3.1660000000000004,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
861,Nerthus,3.135,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
862,Silesia,3.1260000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
863,Doris,3.11,57.85 billion,MBA,57.85,billion,C_Low Metal Content,57850000000.0
864,Vincentina,3.1460000000000004,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
865,Aletheia,3.133,7.81 billion,MBA,7.81,billion,C_Low Metal Content,7810000000.0
866,Themis,3.136,52.83 billion,MBA,52.83,billion,C_Low Metal Content,52830000000.0
867,Bettina,3.1430000000000002,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
868,Nata,3.1630000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
869,Edna,3.197,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
870,Tjossem,3.173,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
871,Harris,3.122,4.59 billion,MBA,4.59,billion,C_Low Metal Content,4590000000.0
872,Loreley,3.1260000000000003,168.40 billion,MBA,168.4,billion,C_Low Metal Content,168400000000.0
873,Philippa,3.1180000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
874,Jean-Jacques,3.125,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
875,Hygiea,3.142,750.20 billion,MBA,750.2,billion,C_Low Metal Content,750200000000.0
876,Lachesis,3.12,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
877,Aristophanes,3.1689999999999996,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
878,Iduna,3.181,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
879,Gedania,3.195,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
880,Brambilla,3.161,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
881,Kharadze,3.173,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
882,Dione,3.1860000000000004,25.61 billion,MBA,25.61,billion,C_Low Metal Content,25610000000.0
883,Comacina,3.153,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
884,Christa,3.205,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
885,Aurora,3.157,60.78 billion,MBA,60.78,billion,C_Low Metal Content,60780000000.0
886,Sundmania,3.1919999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
887,Uzbekistania,3.195,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
888,Leontina,3.2030000000000003,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
889,Protogeneia,3.141,106.04 billion,MBA,106.04,billion,C_Low Metal Content,106040000000.0
890,Spiridonia,3.1710000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
891,Dido,3.147,5.06 billion,MBA,5.06,billion,C_Low Metal Content,5060000000.0
892,Princetonia,3.1630000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
893,Heidelberga,3.216,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
894,Arosa,3.196,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
895,Caltech,3.1719999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
896,Aralia,3.2119999999999997,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
897,Helio,3.202,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
898,Tugela,3.2289999999999996,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
899,Undina,3.1860000000000004,4.88 billion,MBA,4.88,billion,C_Low Metal Content,4880000000.0
900,Carina,3.1889999999999996,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
901,Myrrha,3.225,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
902,Elfriede,3.1910000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
903,Dejopeja,3.188,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
904,Bertha,3.196,71.69 billion,MBA,71.69,billion,C_Low Metal Content,71690000000.0
905,Kartvelia,3.217,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
906,Alikoski,3.2119999999999997,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
907,Iclea,3.196,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
908,Cincinnati,3.4210000000000003,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
909,Harimaya-Bashi,3.2039999999999997,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
910,Alauda,3.1919999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
911,Henrietta,3.3939999999999997,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
912,Gerda,3.225,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
913,Tauntonia,3.21,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
914,Stereoskopia,3.3760000000000003,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
915,Tchaikovsky,3.4010000000000002,21.49 billion,OMB,21.49,billion,C_Low Metal Content,21490000000.0
916,Luscinia,3.404,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
917,Kythera,3.4219999999999997,725.75 billion,OMB,725.75,billion,C_Low Metal Content,725750000000.0
918,Lydina,3.406,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
919,Tisiphone,3.352,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
920,Herrick,3.4389999999999996,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
921,Scheherezade,3.363,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
922,Dubiago,3.412,52.24 billion,OMB,52.24,billion,C_Low Metal Content,52240000000.0
923,Freia,3.4130000000000003,5.14 billion,OMB,5.14,billion,C_Low Metal Content,5140000000.0
924,Pretoria,3.408,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
925,Sibylla,3.372,36.21 billion,OMB,36.21,billion,C_Low Metal Content,36210000000.0
926,Tone,3.36,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
927,Riga,3.358,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
928,Bertholda,3.415,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
929,Cybele,3.426,15.79 billion,OMB,15.79,billion,C_Low Metal Content,15790000000.0
930,Hermione,3.452,43.45 billion,OMB,43.45,billion,C_Low Metal Content,43450000000.0
931,Abastumani,3.438,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
932,Sylvia,3.483,14.73 billion,OMB,14.73,billion,C_Low Metal Content,14730000000.0
933,Pushkin,3.497,14.16 billion,OMB,14.16,billion,C_Low Metal Content,14160000000.0
934,Liriope,3.5069999999999997,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
935,Tabora,3.553,86.91 billion,OMB,86.91,billion,C_Low Metal Content,86910000000.0
936,Camilla,3.492,11.22 billion,OMB,11.22,billion,C_Low Metal Content,11220000000.0
937,El Leoncito,3.634,31.17 billion,OMB,31.17,billion,C_Low Metal Content,31170000000.0
938,Kirkwood,3.923,21.67 billion,OMB,21.67,billion,C_Low Metal Content,21670000000.0
939,Mauderli,3.958,18.81 billion,OMB,18.81,billion,C_Low Metal Content,18810000000.0
940,Oda,3.7560000000000002,37.16 billion,OMB,37.16,billion,C_Low Metal Content,37160000000.0
941,Simeisa,3.945,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
942,Brouwer,3.95,50.77 billion,OMB,50.77,billion,C_Low Metal Content,50770000000.0
943,Venusia,4.006,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
944,Francette,3.951,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
945,Aksnes,3.964,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
946,Schubart,3.9730000000000003,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
947,Hidalgo,5.7410000000000005,11.40 billion,CEN,11.4,billion,C_Low Metal Content,11400000000.0
948,Bus,3.969,32.62 billion,OMB,32.62,billion,C_Low Metal Content,32619999999.999996
949,Duboshin,3.9610000000000003,26.16 billion,OMB,26.16,billion,C_Low Metal Content,26160000000.0
950,Rollandia,3.9019999999999997,239.75 billion,OMB,239.75,billion,C_Low Metal Content,239750000000.0
951,Cunningham,3.943,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
952,Normannia,3.897,66.05 billion,OMB,66.05,billion,C_Low Metal Content,66050000000.0
953,Oulu,3.9589999999999996,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
954,Larissa,3.932,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
955,Rita,3.9960000000000004,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
956,Chicago,3.89,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
957,Ismene,3.986,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
958,Bowell,3.955,23.59 billion,OMB,23.59,billion,C_Low Metal Content,23590000000.0
959,Libya,3.9739999999999998,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
960,Hilda,3.98,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
961,Thule,4.283,>100 trillion,OMB,110.0,Too Much,A_High Metal Content,110000000000000.0
962,Priamus,5.182,214.62 billion,TJN,214.62,billion,C_Low Metal Content,214620000000.0
963,Peiroos,5.147,136.25 billion,TJN,136.25,billion,C_Low Metal Content,136250000000.0
964,Pandarus,5.182,85.09 billion,TJN,85.09,billion,C_Low Metal Content,85090000000.0
965,Deiphobus,5.127000000000001,343.23 billion,TJN,343.23,billion,C_Low Metal Content,343230000000.0
966,Antenor,5.15,193.48 billion,TJN,193.48,billion,C_Low Metal Content,193480000000.0
967,Antilochus,5.132000000000001,267.86 billion,TJN,267.86,billion,C_Low Metal Content,267860000000.0
968,Mentor,5.143,>100 trillion,TJN,110.0,Too Much,A_High Metal Content,110000000000000.0
969,Patroclus,5.216,>100 trillion,TJN,110.0,Too Much,A_High Metal Content,110000000000000.0
970,Alcathous,5.18,305.20 billion,TJN,305.2,billion,C_Low Metal Content,305200000000.0
971,Paris,5.221,1.82 trillion,TJN,1.82,trillion,B_Metal Content,1820000000000.0
972,Aneas,5.218999999999999,341.49 billion,TJN,341.49,billion,C_Low Metal Content,341490000000.0
973,Phereclos,5.212000000000001,176.01 billion,TJN,176.01,billion,C_Low Metal Content,176010000000.0
974,Anchises,5.292000000000001,>100 trillion,TJN,110.0,Too Much,A_High Metal Content,110000000000000.0
975,Odysseus,5.247999999999999,312.85 billion,TJN,312.85,billion,C_Low Metal Content,312850000000.0
976,Cebriones,5.212999999999999,183.66 billion,TJN,183.66,billion,C_Low Metal Content,183660000000.0
977,Hektor,5.26,2.37 trillion,TJN,2.37,trillion,B_Metal Content,2370000000000.0
978,Agamemnon,5.278,467.42 billion,TJN,467.42,billion,C_Low Metal Content,467420000000.0
979,Chiron,13.669,>100 trillion,CEN,110.0,Too Much,A_High Metal Content,110000000000000.0
980,Chariklo,15.842,5.72 trillion,CEN,5.72,trillion,B_Metal Content,5720000000000.0
981,2002 EC,2.149,48.34 million,AMO,48.34,million,D_Very low Content,48340000.0
982,Golevka,2.502,35.51 million,APO (PHA),35.51,million,D_Very low Content,35510000.0
983,1991 BN,1.443,33.42 million,APO (PHA),33.42,million,D_Very low Content,33420000.0
984,1999 VQ5,2.4219999999999997,29.07 million,MCA,29.07,million,D_Very low Content,29070000.0
985,2000 PG3,2.824,15.39 million,APO,15.39,million,D_Very low Content,15390000.0
986,2002 AL31,1.177,10.58 million,APO,10.58,million,D_Very low Content,10580000.0
987,1984 BC,3.4939999999999998,8.16 million,OMB,8.16,million,D_Very low Content,8160000.0
988,2000 AC6,0.853,1.30 million,ATE (PHA),1.3,million,D_Very low Content,1300000.0
989,2001 SK162,1.926,726094.4661,APO (PHA),726094.4661,zero,E_No Metal identified,0.0
990,2001 AE2,1.35,132253.4537,AMO,132253.4537,zero,E_No Metal identified,0.0
991,Aegle,3.051,61960,MBA,61960.0,zero,E_No Metal identified,0.0
992,2001 UU92,3.1710000000000003,38142.31268,AMO,38142.31268,zero,E_No Metal identified,0.0
993,2001 YE1,1.912,14501.30283,APO,14501.30283,zero,E_No Metal identified,0.0
994,2001 SG286,1.358,2420.770465,APO (PHA),2420.770465,zero,E_No Metal identified,0.0
995,2002 AT4,1.867,1599.387185,AMO (PHA),1599.387185,zero,E_No Metal identified,0.0
996,Herculina,2.773,0,MBA,0.0,zero,E_No Metal identified,0.0
997,Eleonora,2.799,0,MBA,0.0,zero,E_No Metal identified,0.0
998,Papagena,2.8939999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
999,Dembowska,2.923,0,MBA,0.0,zero,E_No Metal identified,0.0
1000,Harmonia,2.267,0,MBA,0.0,zero,E_No Metal identified,0.0
1001,Fides,2.642,0,MBA,0.0,zero,E_No Metal identified,0.0
1002,Rachele,2.923,0,MBA,0.0,zero,E_No Metal identified,0.0
1003,Alkeste,2.6310000000000002,0,MBA,0.0,zero,E_No Metal identified,0.0
1004,Hermentaria,2.7960000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1005,Hekate,3.0869999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1006,Vaticana,2.792,0,MBA,0.0,zero,E_No Metal identified,0.0
1007,Hera,2.702,0,MBA,0.0,zero,E_No Metal identified,0.0
1008,Pomona,2.589,0,MBA,0.0,zero,E_No Metal identified,0.0
1009,Thyra,2.38,0,MBA,0.0,zero,E_No Metal identified,0.0
1010,Ludmilla,2.7689999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1011,Vera,3.096,0,MBA,0.0,zero,E_No Metal identified,0.0
1012,Hecuba,3.237,0,OMB,0.0,zero,E_No Metal identified,0.0
1013,Industria,2.608,0,MBA,0.0,zero,E_No Metal identified,0.0
1014,Cyrene,3.0639999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1015,Sirona,2.766,0,MBA,0.0,zero,E_No Metal identified,0.0
1016,Sappho,2.296,0,MBA,0.0,zero,E_No Metal identified,0.0
1017,Helena,2.5839999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1018,Phaedra,2.862,0,MBA,0.0,zero,E_No Metal identified,0.0
1019,Tyche,2.616,0,MBA,0.0,zero,E_No Metal identified,0.0
1020,Genua,2.7489999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1021,Eurynome,2.447,0,MBA,0.0,zero,E_No Metal identified,0.0
1022,Libussa,2.7969999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1023,Alkmene,2.763,0,MBA,0.0,zero,E_No Metal identified,0.0
1024,Alphonsina,2.702,0,MBA,0.0,zero,E_No Metal identified,0.0
1025,Althaea,2.5810000000000004,0,MBA,0.0,zero,E_No Metal identified,0.0
1026,Ampella,2.459,0,MBA,0.0,zero,E_No Metal identified,0.0
1027,Semiramis,2.374,0,MBA,0.0,zero,E_No Metal identified,0.0
1028,Cyane,2.8089999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1029,Suleika,2.7119999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1030,Bohemia,2.728,0,MBA,0.0,zero,E_No Metal identified,0.0
1031,Iolanda,3.0639999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1032,Philippina,2.793,0,MBA,0.0,zero,E_No Metal identified,0.0
1033,Amalthea,2.376,0,MBA,0.0,zero,E_No Metal identified,0.0
1034,Arequipa,2.59,0,MBA,0.0,zero,E_No Metal identified,0.0
1035,Pythia,2.369,0,MBA,0.0,zero,E_No Metal identified,0.0
1036,Pierretta,2.782,0,MBA,0.0,zero,E_No Metal identified,0.0
1037,Justitia,2.616,0,MBA,0.0,zero,E_No Metal identified,0.0
1038,Brunhild,2.695,0,MBA,0.0,zero,E_No Metal identified,0.0
1039,Burgundia,2.78,0,MBA,0.0,zero,E_No Metal identified,0.0
1040,Marconia,3.063,0,MBA,0.0,zero,E_No Metal identified,0.0
1041,Coelestina,2.763,0,MBA,0.0,zero,E_No Metal identified,0.0
1042,Peitho,2.437,0,MBA,0.0,zero,E_No Metal identified,0.0
1043,Sylvania,2.7910000000000004,0,MBA,0.0,zero,E_No Metal identified,0.0
1044,Lacrimosa,2.892,0,MBA,0.0,zero,E_No Metal identified,0.0
1045,Urda,2.852,0,MBA,0.0,zero,E_No Metal identified,0.0
1046,Elsa,2.416,0,MBA,0.0,zero,E_No Metal identified,0.0
1047,Abundantia,2.592,0,MBA,0.0,zero,E_No Metal identified,0.0
1048,Koronis,2.8710000000000004,0,MBA,0.0,zero,E_No Metal identified,0.0
1049,Abnoba,2.7889999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1050,Ganymed,2.6639999999999997,0,AMO,0.0,zero,E_No Metal identified,0.0
1051,Edda,2.8139999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1052,Zelia,2.358,0,MBA,0.0,zero,E_No Metal identified,0.0
1053,Pepita,3.069,0,MBA,0.0,zero,E_No Metal identified,0.0
1054,Phyllis,2.464,0,MBA,0.0,zero,E_No Metal identified,0.0
1055,Bandusia,2.67,0,MBA,0.0,zero,E_No Metal identified,0.0
1056,Ottegebe,2.801,0,MBA,0.0,zero,E_No Metal identified,0.0
1057,Belisana,2.461,0,MBA,0.0,zero,E_No Metal identified,0.0
1058,Menippe,2.761,0,MBA,0.0,zero,E_No Metal identified,0.0
1059,Planckia,3.127,0,MBA,0.0,zero,E_No Metal identified,0.0
1060,Geometria,2.289,0,MBA,0.0,zero,E_No Metal identified,0.0
1061,Burdigala,2.6510000000000002,0,MBA,0.0,zero,E_No Metal identified,0.0
1062,Turnera,3.0210000000000004,0,MBA,0.0,zero,E_No Metal identified,0.0
1063,Eriphyla,2.872,0,MBA,0.0,zero,E_No Metal identified,0.0
1064,Bohlinia,2.886,0,MBA,0.0,zero,E_No Metal identified,0.0
1065,Margarita,2.762,0,MBA,0.0,zero,E_No Metal identified,0.0
1066,Zelima,3.0189999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1067,Maria,2.5540000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1068,Istria,2.7910000000000004,0,MBA,0.0,zero,E_No Metal identified,0.0
1069,Paulina,2.7560000000000002,0,MBA,0.0,zero,E_No Metal identified,0.0
1070,Gretia,2.802,0,MBA,0.0,zero,E_No Metal identified,0.0
1071,Aaltje,2.9539999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1072,Nassovia,2.884,0,MBA,0.0,zero,E_No Metal identified,0.0
1073,Arete,2.738,0,MBA,0.0,zero,E_No Metal identified,0.0
1074,Weringia,2.7119999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1075,Merxia,2.7439999999999998,0,MBA,0.0,zero,E_No Metal identified,0.0
1076,Sara,2.978,0,MBA,0.0,zero,E_No Metal identified,0.0
1077,Columbia,2.7760000000000002,0,MBA,0.0,zero,E_No Metal identified,0.0
1078,Pittsburghia,2.667,0,MBA,0.0,zero,E_No Metal identified,0.0
1079,Arduina,2.764,0,MBA,0.0,zero,E_No Metal identified,0.0
1080,Crimea,2.772,0,MBA,0.0,zero,E_No Metal identified,0.0
1081,Glauke,2.762,0,MBA,0.0,zero,E_No Metal identified,0.0
1082,Jugurtha,2.722,0,MBA,0.0,zero,E_No Metal identified,0.0
1083,Theresia,2.795,0,MBA,0.0,zero,E_No Metal identified,0.0
1084,Punkaharju,2.785,0,MBA,0.0,zero,E_No Metal identified,0.0
1085,Florentina,2.885,0,MBA,0.0,zero,E_No Metal identified,0.0
1086,Holmia,2.7760000000000002,0,MBA,0.0,zero,E_No Metal identified,0.0
1087,Kilia,2.405,0,MBA,0.0,zero,E_No Metal identified,0.0
1088,Franzia,2.803,0,MBA,0.0,zero,E_No Metal identified,0.0
1089,Gisela,2.194,0,MBA,0.0,zero,E_No Metal identified,0.0
1090,Arizona,2.795,0,MBA,0.0,zero,E_No Metal identified,0.0
1091,Ambrosia,2.603,0,MBA,0.0,zero,E_No Metal identified,0.0
1092,Barcelona,2.636,0,MBA,0.0,zero,E_No Metal identified,0.0
1093,Photographica,2.215,0,MBA,0.0,zero,E_No Metal identified,0.0
1094,Musa,2.661,0,MBA,0.0,zero,E_No Metal identified,0.0
1095,Agnia,2.782,0,MBA,0.0,zero,E_No Metal identified,0.0
1096,Lysistrata,2.542,0,MBA,0.0,zero,E_No Metal identified,0.0
1097,Gabriella,2.537,0,MBA,0.0,zero,E_No Metal identified,0.0
1098,Tea,2.1830000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1099,Dresda,2.887,0,MBA,0.0,zero,E_No Metal identified,0.0
1100,Garumna,2.722,0,MBA,0.0,zero,E_No Metal identified,0.0
1101,Taurinensis,2.189,0,MCA,0.0,zero,E_No Metal identified,0.0
1102,Italia,2.416,0,MBA,0.0,zero,E_No Metal identified,0.0
1103,Xenia,2.6439999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1104,Komppa,2.699,0,MBA,0.0,zero,E_No Metal identified,0.0
1105,Esther,2.414,0,MBA,0.0,zero,E_No Metal identified,0.0
1106,Zeelandia,2.8489999999999998,0,MBA,0.0,zero,E_No Metal identified,0.0
1107,Montana,2.535,0,MBA,0.0,zero,E_No Metal identified,0.0
1108,Otthild,2.529,0,MBA,0.0,zero,E_No Metal identified,0.0
1109,Berkeley,2.815,0,MBA,0.0,zero,E_No Metal identified,0.0
1110,Jose,2.86,0,MBA,0.0,zero,E_No Metal identified,0.0
1111,Gelria,2.741,0,MBA,0.0,zero,E_No Metal identified,0.0
1112,Eliane,2.617,0,MBA,0.0,zero,E_No Metal identified,0.0
1113,Kenya,2.405,0,MBA,0.0,zero,E_No Metal identified,0.0
1114,Celestia,2.694,0,MBA,0.0,zero,E_No Metal identified,0.0
1115,Laplace,2.6460000000000004,0,MBA,0.0,zero,E_No Metal identified,0.0
1116,Schilt,2.548,0,MBA,0.0,zero,E_No Metal identified,0.0
1117,Dawn,2.8689999999999998,0,MBA,0.0,zero,E_No Metal identified,0.0
1118,Shura,2.78,0,MBA,0.0,zero,E_No Metal identified,0.0
1119,Mineura,2.627,0,MBA,0.0,zero,E_No Metal identified,0.0
1120,Pawona,2.426,0,MBA,0.0,zero,E_No Metal identified,0.0
1121,Bohrmann,2.8539999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1122,Delvaux,2.87,0,MBA,0.0,zero,E_No Metal identified,0.0
1123,Ilmari,2.627,0,MBA,0.0,zero,E_No Metal identified,0.0
1124,Rosselia,2.8569999999999998,0,MBA,0.0,zero,E_No Metal identified,0.0
1125,Hoffmann,2.7430000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1126,Michel,2.792,0,MBA,0.0,zero,E_No Metal identified,0.0
1127,Hill,2.752,0,MBA,0.0,zero,E_No Metal identified,0.0
1128,Proserpina,2.654,0,MBA,0.0,zero,E_No Metal identified,0.0
1129,Cetacea,2.5340000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1130,Ingeborg,2.32,0,MCA,0.0,zero,E_No Metal identified,0.0
1131,Heidi,2.792,0,MBA,0.0,zero,E_No Metal identified,0.0
1132,Hela,2.611,0,MCA,0.0,zero,E_No Metal identified,0.0
1133,Sumoto,2.7430000000000003,0,MBA,0.0,zero,E_No Metal identified,0.0
1134,Mitaka,2.202,0,MBA,0.0,zero,E_No Metal identified,0.0
1135,Phocaea,2.4,0,MBA,0.0,zero,E_No Metal identified,0.0
1136,Liszt,2.7939999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1137,Guangdong,2.71,0,MBA,0.0,zero,E_No Metal identified,0.0
1138,Ries,2.772,0,MBA,0.0,zero,E_No Metal identified,0.0
1139,Scabiosa,2.7680000000000002,0,MBA,0.0,zero,E_No Metal identified,0.0
1140,Unitas,2.358,0,MBA,0.0,zero,E_No Metal identified,0.0
1141,Gryphia,2.199,0,MBA,0.0,zero,E_No Metal identified,0.0
1142,Renzia,2.263,0,MCA,0.0,zero,E_No Metal identified,0.0
1143,Montefiore,2.18,0,MBA,0.0,zero,E_No Metal identified,0.0
1144,Ruperto-Carola,2.736,0,MBA,0.0,zero,E_No Metal identified,0.0
1145,Per Brahe,2.725,0,MBA,0.0,zero,E_No Metal identified,0.0
1146,Bauersfelda,2.906,0,MBA,0.0,zero,E_No Metal identified,0.0
1147,Manto,2.3209999999999997,0,MBA,0.0,zero,E_No Metal identified,0.0
1148,Korhonen,2.608,0,MBA,0.0,zero,E_No Metal identified,0.0
1149,Grieve,2.605,0,MCA,0.0,zero,E_No Metal identified,0.0
1150,Talbot,2.764,0,MBA,0.0,zero,E_No Metal identified,0.0
1151,Thomsen,2.1790000000000003,0,MCA,0.0,zero,E_No Metal identified,0.0
1152,Barbara,2.386,0,MBA,0.0,zero,E_No Metal identified,0.0
1153,Massevitch,2.7439999999999998,0,MBA,0.0,zero,E_No Metal identified,0.0
1154,Tynka,2.199,0,MBA,0.0,zero,E_No Metal identified,0.0
1155,Stavropolis,2.271,0,MBA,0.0,zero,E_No Metal identified,0.0
1156,Tanina,2.226,0,MBA,0.0,zero,E_No Metal identified,0.0
1157,Ashbrook,2.783,0,MBA,0.0,zero,E_No Metal identified,0.0
1158,Szmytowna,2.9389999999999996,0,MBA,0.0,zero,E_No Metal identified,0.0
1159,Mehltretter,2.741,0,MBA,0.0,zero,E_No Metal identified,0.0
1160,Amundsenia,2.36,0,MCA,0.0,zero,E_No Metal identified,0.0
1161,Tsvetaeva,2.745,0,MBA,0.0,zero,E_No Metal identified,0.0
1162,Sanenobufukui,2.801,0,MBA,0.0,zero,E_No Metal identified,0.0
