,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
1979,2018 TK6,1.17,0,APO,0.0,zero,E_No Metal identified,0.0
1980,2018 TJ6,1.139,0,APO,0.0,zero,E_No Metal identified,0.0
1982,2018 TG6,1.064,0,APO,0.0,zero,E_No Metal identified,0.0
1984,2018 TE6,1.127,0,AMO,0.0,zero,E_No Metal identified,0.0
1985,2018 TD6,1.179,0,APO,0.0,zero,E_No Metal identified,0.0
1990,2018 TY5,0.929,0,ATE,0.0,zero,E_No Metal identified,0.0
2008,2018 TF5,0.904,0,ATE,0.0,zero,E_No Metal identified,0.0
2011,2018 TC5,1.041,0,APO,0.0,zero,E_No Metal identified,0.0
2012,2018 TB5,1.126,0,APO,0.0,zero,E_No Metal identified,0.0
2019,2018 TU4,0.971,0,ATE,0.0,zero,E_No Metal identified,0.0
2021,2018 TS4,1.104,0,APO,0.0,zero,E_No Metal identified,0.0
2022,2018 TR4,1.081,0,APO,0.0,zero,E_No Metal identified,0.0
2047,2018 TR3,1.131,0,APO,0.0,zero,E_No Metal identified,0.0
2050,2018 TO3,1.131,0,APO,0.0,zero,E_No Metal identified,0.0
2055,2018 TJ3,0.951,0,ATE,0.0,zero,E_No Metal identified,0.0
2062,2018 TB3,0.8290000000000001,0,ATE,0.0,zero,E_No Metal identified,0.0
2075,2018 TO2,1.101,0,APO,0.0,zero,E_No Metal identified,0.0
2085,2018 TD2,0.843,0,ATE,0.0,zero,E_No Metal identified,0.0
2086,2018 TC2,1.131,0,APO,0.0,zero,E_No Metal identified,0.0
2088,2018 TA2,0.978,0,ATE,0.0,zero,E_No Metal identified,0.0
2089,2018 TZ1,1.0979999999999999,0,APO,0.0,zero,E_No Metal identified,0.0
2122,2018 TR,1.058,0,APO,0.0,zero,E_No Metal identified,0.0
2394,2018 SG3,1.195,0,APO,0.0,zero,E_No Metal identified,0.0
2395,2018 SF3,1.012,0,APO,0.0,zero,E_No Metal identified,0.0
2396,2018 SE3,1.177,0,AMO,0.0,zero,E_No Metal identified,0.0
2399,2018 SB3,1.1440000000000001,0,APO,0.0,zero,E_No Metal identified,0.0
2411,2018 SP2,0.925,0,ATE,0.0,zero,E_No Metal identified,0.0
2412,2018 SO2,0.836,0,ATE,0.0,zero,E_No Metal identified,0.0
2413,2018 SN2,0.838,0,ATE,0.0,zero,E_No Metal identified,0.0
2421,2018 SE2,1.107,0,APO,0.0,zero,E_No Metal identified,0.0
2422,2018 SD2,0.93,0,ATE,0.0,zero,E_No Metal identified,0.0
2447,2018 SD1,1.097,0,APO,0.0,zero,E_No Metal identified,0.0
2680,2018 RX27,1.176,0,APO,0.0,zero,E_No Metal identified,0.0
3030,2018 RY7,1.016,0,APO,0.0,zero,E_No Metal identified,0.0
3046,2018 RH7,0.965,0,ATE,0.0,zero,E_No Metal identified,0.0
3068,2018 RL6,1.087,0,APO,0.0,zero,E_No Metal identified,0.0
3071,2018 RH6,0.988,0,ATE,0.0,zero,E_No Metal identified,0.0
3073,2018 RF6,1.018,0,APO,0.0,zero,E_No Metal identified,0.0
3090,2018 RO5,0.992,0,ATE,0.0,zero,E_No Metal identified,0.0
3114,2018 RO4,1.141,0,APO,0.0,zero,E_No Metal identified,0.0
3117,2018 RL4,0.872,0,ATE,0.0,zero,E_No Metal identified,0.0
3126,2018 RB4,1.064,0,APO,0.0,zero,E_No Metal identified,0.0
3133,2018 RU3,0.956,0,ATE,0.0,zero,E_No Metal identified,0.0
3145,2018 RH3,0.9590000000000001,0,ATE,0.0,zero,E_No Metal identified,0.0
3152,2018 RA3,1.139,0,APO,0.0,zero,E_No Metal identified,0.0
3165,2018 RN2,0.882,0,ATE,0.0,zero,E_No Metal identified,0.0
3172,2018 RF2,1.024,0,APO,0.0,zero,E_No Metal identified,0.0
3174,2018 RD2,0.8079999999999999,0,ATE,0.0,zero,E_No Metal identified,0.0
3179,2018 RY1,0.8220000000000001,0,ATE,0.0,zero,E_No Metal identified,0.0
3181,2018 RW1,0.9159999999999999,0,ATE,0.0,zero,E_No Metal identified,0.0
3186,2018 RR1,1.075,0,APO,0.0,zero,E_No Metal identified,0.0
3187,2018 RQ1,0.879,0,ATE,0.0,zero,E_No Metal identified,0.0
3201,2018 RB1,1.119,0,APO,0.0,zero,E_No Metal identified,0.0
3202,2018 RA1,1.1420000000000001,0,APO,0.0,zero,E_No Metal identified,0.0
3206,2018 RW,0.894,0,ATE,0.0,zero,E_No Metal identified,0.0
3211,2018 RR,1.101,0,APO,0.0,zero,E_No Metal identified,0.0
3224,2018 RC,0.882,0,ATE,0.0,zero,E_No Metal identified,0.0
3316,2018 QW1,1.034,0,APO,0.0,zero,E_No Metal identified,0.0
3320,2018 QS1,0.98,0,ATE,0.0,zero,E_No Metal identified,0.0
3405,2018 PV24,1.067,0,APO,0.0,zero,E_No Metal identified,0.0
3431,2018 PU23,0.9640000000000001,0,ATE,0.0,zero,E_No Metal identified,0.0
3462,2018 PN22,0.997,0,ATE,0.0,zero,E_No Metal identified,0.0
3475,2018 PZ21,0.857,0,ATE,0.0,zero,E_No Metal identified,0.0
3490,2018 PK21,0.988,0,ATE,0.0,zero,E_No Metal identified,0.0
3515,2018 PK20,0.8909999999999999,0,ATE,0.0,zero,E_No Metal identified,0.0
3521,2018 PD20,1.069,0,APO,0.0,zero,E_No Metal identified,0.0
3630,2018 PL8,1.048,0,APO,0.0,zero,E_No Metal identified,0.0
3648,2018 PR7,1.026,0,APO,0.0,zero,E_No Metal identified,0.0
3660,2018 PC,1.031,0,APO,0.0,zero,E_No Metal identified,0.0
3673,2018 OZ,1.032,0,APO,0.0,zero,E_No Metal identified,0.0
3795,2018 NJ4,0.956,0,ATE,0.0,zero,E_No Metal identified,0.0
3810,2018 NT3,1.188,0,AMO,0.0,zero,E_No Metal identified,0.0
3832,2018 NV2,1.126,0,APO,0.0,zero,E_No Metal identified,0.0
3834,2018 NT2,1.145,0,APO,0.0,zero,E_No Metal identified,0.0
3847,2018 NF2,1.03,0,APO,0.0,zero,E_No Metal identified,0.0
3861,2018 NR1,0.878,0,ATE,0.0,zero,E_No Metal identified,0.0
3863,2018 NP1,1.023,0,APO,0.0,zero,E_No Metal identified,0.0
3871,2018 NG1,1.197,0,APO,0.0,zero,E_No Metal identified,0.0
3872,2018 NF1,1.058,0,APO,0.0,zero,E_No Metal identified,0.0
3878,2018 NX,0.898,0,ATE,0.0,zero,E_No Metal identified,0.0
3879,2018 NW,1.162,0,APO,0.0,zero,E_No Metal identified,0.0
3880,2018 NV,0.9259999999999999,0,ATE,0.0,zero,E_No Metal identified,0.0
3896,2018 NE,0.971,0,ATE,0.0,zero,E_No Metal identified,0.0
3903,2018 MR8,0.972,0,ATE,0.0,zero,E_No Metal identified,0.0
3907,2018 MN8,0.847,0,ATE,0.0,zero,E_No Metal identified,0.0
3923,2018 MJ7,1.095,0,APO,0.0,zero,E_No Metal identified,0.0
3924,2018 MH7,0.893,0,ATE,0.0,zero,E_No Metal identified,0.0
3925,2018 MG7,0.912,0,ATE (PHA),0.0,zero,E_No Metal identified,0.0
3928,2018 MD7,0.9470000000000001,0,ATE,0.0,zero,E_No Metal identified,0.0
3933,2018 MY6,0.905,0,ATE (PHA),0.0,zero,E_No Metal identified,0.0
3957,2018 MQ5,1.077,0,AMO,0.0,zero,E_No Metal identified,0.0
3971,2018 MA5,0.948,0,ATE,0.0,zero,E_No Metal identified,0.0
